,SMILES
13,COc1cc(OC)c(B(c2c(OC)cc(OC)cc2OC)c2c(OC)cc(OC)cc2OC)c(OC)c1
14,O=[N+]([O-])c1c(F)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(F)c([N+](=O)[O-])c(F)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(F)c([N+](=O)[O-])c(F)c2[N+](=O)[O-])c([N+](=O)[O-])c1F
15,CC(C)(C)c1c(Br)c(C(C)(C)C)c(B(c2c(C(C)(C)C)c(Br)c(C(C)(C)C)c(Br)c2C(C)(C)C)c2c(C(C)(C)C)c(Br)c(C(C)(C)C)c(Br)c2C(C)(C)C)c(C(C)(C)C)c1Br
16,N#Cc1cc(C#N)c(B(c2c(C#N)cc(C#N)cc2C#N)c2c(C#N)cc(C#N)cc2C#N)c(C#N)c1
17,CC(C)(C)c1cc(C(C)(C)C)c(B(c2c(C(C)(C)C)cc(C(C)(C)C)cc2C(C)(C)C)c2c(C(C)(C)C)cc(C(C)(C)C)cc2C(C)(C)C)c(C(C)(C)C)c1
18,N#Cc1cc(B(c2cc(C#N)c(C#N)c(C#N)c2)c2cc(C#N)c(C#N)c(C#N)c2)cc(C#N)c1C#N
19,Brc1cc(B(c2cc(Br)c(Br)c(Br)c2)c2cc(Br)c(Br)c(Br)c2)cc(Br)c1Br
20,CN(C)c1c(N)c(N(C)C)c(B(c2c(N(C)C)c(N)c(N(C)C)c(N)c2N(C)C)c2c(N(C)C)c(N)c(N(C)C)c(N)c2N(C)C)c(N(C)C)c1N
21,N#Cc1c([N+](=O)[O-])c(C#N)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(C#N)c([N+](=O)[O-])c(C#N)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(C#N)c([N+](=O)[O-])c(C#N)c2[N+](=O)[O-])c1[N+](=O)[O-]
22,O=[N+]([O-])c1c(B(c2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2[N+](=O)[O-])c2c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-]
23,CC(C)(C)c1c(B(c2c(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c2C(C)(C)C)c2c(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c2C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c1C(C)(C)C
24,COc1c(C(C)(C)C)c(OC)c(C(C)(C)C)c(B(c2c(C(C)(C)C)c(OC)c(C(C)(C)C)c(OC)c2C(C)(C)C)c2c(C(C)(C)C)c(OC)c(C(C)(C)C)c(OC)c2C(C)(C)C)c1C(C)(C)C
25,N#Cc1c(Br)c(C#N)c(B(c2c(C#N)c(Br)c(C#N)c(Br)c2C#N)c2c(C#N)c(Br)c(C#N)c(Br)c2C#N)c(C#N)c1Br
26,Nc1c(F)c(N)c(B(c2c(N)c(F)c(N)c(F)c2N)c2c(N)c(F)c(N)c(F)c2N)c(N)c1F
27,N#Cc1c(N)c(C#N)c(B(c2c(C#N)c(N)c(C#N)c(N)c2C#N)c2c(C#N)c(N)c(C#N)c(N)c2C#N)c(C#N)c1N
28,CN(C)c1c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(N(C)C)c(C(F)(F)F)c(N(C)C)c2C(F)(F)F)c2c(C(F)(F)F)c(N(C)C)c(C(F)(F)F)c(N(C)C)c2C(F)(F)F)c(C(F)(F)F)c(N(C)C)c1C(F)(F)F
29,N#Cc1c(B(c2c(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c2C#N)c2c(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c2C#N)c(C#N)c(C(F)(F)F)c(C#N)c1C(F)(F)F
30,COc1c(C#N)c(OC)c(B(c2c(OC)c(C#N)c(OC)c(C#N)c2OC)c2c(OC)c(C#N)c(OC)c(C#N)c2OC)c(OC)c1C#N
31,Cc1c(N(C)C)cc(B(c2cc(N(C)C)c(C)c(N(C)C)c2)c2cc(N(C)C)c(C)c(N(C)C)c2)cc1N(C)C
32,COc1c(Br)c(OC)c(Br)c(B(c2c(Br)c(OC)c(Br)c(OC)c2Br)c2c(Br)c(OC)c(Br)c(OC)c2Br)c1Br
33,Cc1c(N(C)C)c(C)c(N(C)C)c(B(c2c(N(C)C)c(C)c(N(C)C)c(C)c2N(C)C)c2c(N(C)C)c(C)c(N(C)C)c(C)c2N(C)C)c1N(C)C
34,CN(C)c1c(C#N)c(N(C)C)c(B(c2c(N(C)C)c(C#N)c(N(C)C)c(C#N)c2N(C)C)c2c(N(C)C)c(C#N)c(N(C)C)c(C#N)c2N(C)C)c(N(C)C)c1C#N
