can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,charge,converged,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,multiplicity,number_of_atoms,zero_point_correction
CC(C)(C)c1cc(Cl)c2c(c1)-c1cc(Cl)cc3c1B(O2)Oc1c(Cl)cc(C(C)(C)C)cc1-3,-2560.229829,2.7786,21679.1165,2243.265,-2560.53592347,0.475437,-2560.25879,-2560.318252,0.387014,-2560.228885,0.476381,0.0,1.0,3.9533,0.15338000000000002,20702.168,0.11917000000000001,-0.27255,-0.03421,485.6434,3711.584,1.0,56.0,0.446477
CC(C)(C)c1cc(Cl)c2c(c1)-c1cc(Cl)cc3c1[BH-](O2)Oc1c(Cl)cc(C(C)(C)C)cc1-3,-2560.855472,2.7699,21812.3701,3731.914,-2561.21470449,0.483037,-2560.884855,-2560.945062,0.393447,-2560.854528,0.483982,,1.0,4.192,0.018489999999999993,20445.7599,0.10997,-0.12846,0.09148,486.6513,4160.87,1.0,57.0,0.453655
CC(C)(C)c1cc(F)c2c(c1)-c1cc(N)cc3c1B(O2)Oc1c(F)cc(C(C)(C)C)cc1-3,-1435.233614,8.1449,19320.7984,3344.88,-1435.56190647,0.50438,-1435.26199,-1435.319218,0.418776,-1435.23267,0.505324,0.0,1.0,6.1931,0.13793,18253.2674,0.12078,-0.25871,-0.01715,433.3037,3986.826,1.0,58.0,0.476004
CC(C)(C)c1cc(F)c2c(c1)-c1cc(N)cc3c1[BH-](O2)Oc1c(F)cc(C(C)(C)C)cc1-3,-1435.841621,5.2202,19366.6517,3307.713,-1436.1969822,0.511712,-1435.870461,-1435.928549,0.424784,-1435.840677,0.512656,,1.0,6.4879,-2.4999999999997247e-05,18251.8208,0.109915,-0.10989,0.10994,434.3116,3135.436,1.0,59.0,0.482872
CC(C)(C)c1cc2c(c([N+](=O)[O-])c1)OB1Oc3c(cc(C(C)(C)C)cc3[N+](=O)[O-])-c3cc(C#N)cc-2c31,-1682.532018,5.0674,23015.7716,3848.376,-1682.7838546,0.51216,-1682.564325,-1682.628223,0.415955,-1682.531073,0.513104,0.0,1.0,8.3086,0.176345,22030.7644,0.117125,-0.29347,-0.05922,497.3131,4038.89,1.0,61.0,0.479853
CC(C)(C)c1cc2c(c([N+](=O)[O-])c1)O[BH-]1Oc3c(cc(C(C)(C)C)cc3[N+](=O)[O-])-c3cc(C#N)cc-2c31,-1683.180761,7.6965,23186.8809,4101.7,-1683.46395084,0.52004,-1683.213385,-1683.278076,0.422724,-1683.179816,0.520984,,1.0,7.0002,0.047670000000000004,20742.844,0.10592,-0.15359,0.05825,498.321,4515.633,1.0,62.0,0.487415
CC(C)(C)c1cc2c3c(c1)-c1cc(C#N)cc(C(C)(C)C)c1OB3Oc1c-2cc(C#N)cc1C(C)(C)C,-1522.979261,2.4354,20852.0833,4307.176,-1523.42308575,0.621791,-1523.013533,-1523.078297,0.522755,-1522.978317,0.622735,0.0,1.0,2.7442,0.15809,20669.0093,0.1205,-0.27859,-0.03759,488.4349,4153.349,1.0,70.0,0.587519
CC(C)(C)c1cc2c3c(c1)-c1cc(C#N)cc(C(C)(C)C)c1O[BH-]3Oc1c-2cc(C#N)cc1C(C)(C)C,-1523.627184,3.9351,20675.9533,4365.591,-1524.08912312,0.629357,-1523.661658,-1523.725976,0.530566,-1523.62624,0.630301,,1.0,1.3706,0.02939,20153.7129,0.11593,-0.14532,0.08654,489.4428,4326.612,1.0,71.0,0.594884
CC(C)(C)c1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C(C)(C)C)c1OB3Oc1c-2cc(C(C)(C)C)cc1C(C)(C)C,-1652.668751,1.407,27787.3216,4595.315,-1653.28489381,0.860042,-1652.710328,-1652.781678,0.747115,-1652.667807,0.860986,0.0,1.0,2.1006,0.13055,25503.4468,0.11935000000000001,-0.2499,-0.0112,550.6297,5268.766,1.0,92.0,0.818465
CC(C)(C)c1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C(C)(C)C)c1O[BH-]3Oc1c-2cc(C(C)(C)C)cc1C(C)(C)C,-1653.282483,0.8515,27762.6809,5001.084,-1653.91767682,0.866796,-1653.324332,-1653.396213,0.753066,-1653.281539,0.86774,,1.0,3.4931,0.003595000000000001,26439.0016,0.113535,-0.11713,0.10994,551.6376,5571.383,1.0,93.0,0.824947
CC(C)(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)cc(C#N)c1OB3Oc1c(C#N)cc(C(F)(F)F)cc1-2,-1882.72341,10.0873,22403.1818,3898.138,-1883.08311418,0.399839,-1882.754119,-1882.818376,0.304873,-1882.722465,0.400783,0.0,1.0,9.4633,0.178895,22345.235,0.119135,-0.29803,-0.05976,512.2171,3456.84,1.0,52.0,0.369129
CC(C)(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)cc(C#N)c1O[BH-]3Oc1c(C#N)cc(C(F)(F)F)cc1-2,-1883.3754,11.5694,22520.9885,3961.771,-1883.63562417,0.407727,-1883.406438,-1883.47105,0.312077,-1883.374456,0.408671,,1.0,12.3425,0.047755,20980.6787,0.11071500000000001,-0.15847,0.06296,513.225,3591.512,1.0,53.0,0.376689
CC(C)(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)cc(F)c1OB3Oc1c(F)cc(C(F)(F)F)cc1-2,-1896.718097,3.4953,21068.4566,3380.126,-1896.95826981,0.384302,-1896.746868,-1896.809474,0.292924,-1896.717153,0.385246,0.0,1.0,3.9715,0.16129000000000002,20547.535,0.12226000000000001,-0.28355,-0.03903,498.1785,3175.27,1.0,50.0,0.355531
CC(C)(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)cc(F)c1O[BH-]3Oc1c(F)cc(C(F)(F)F)cc1-2,-1897.35156,4.2727,21165.6722,3116.692,-1897.58896981,0.391937,-1897.380626,-1897.442233,0.301265,-1897.350616,0.392881,,1.0,6.997,0.023285000000000007,19198.6171,0.11435500000000001,-0.13764,0.09107,499.1864,3760.357,1.0,51.0,0.362872
CC(C)(C)c1cc2c3c(c1)-c1cc(Cl)cc(C(F)(F)F)c1OB3Oc1c-2cc(Cl)cc1C(F)(F)F,-2617.451445,5.9904,20769.9657,3397.972,-2617.64934757,0.381958,-2617.480807,-2617.541957,0.291445,-2617.450501,0.382902,0.0,1.0,5.3222,0.16301,20666.1281,0.11848999999999998,-0.2815,-0.04452,531.0877,3320.745,1.0,50.0,0.352596
CC(C)(C)c1cc2c3c(c1)-c1cc(Cl)cc(C(F)(F)F)c1O[BH-]3Oc1c-2cc(Cl)cc1C(F)(F)F,-2618.088174,3.9103,20928.1895,3809.772,-2618.30079084,0.389657,-2618.117967,-2618.179966,0.297865,-2618.08723,0.390601,,1.0,5.89,0.030129999999999997,20294.2265,0.11055000000000001,-0.14068,0.08042,532.0956,3208.229,1.0,51.0,0.359864
CC(C)(C)c1cc2c3c(c1)-c1cc(N)cc(F)c1OB3Oc1c(F)cc(N)cc1-2,-1333.483453,3.9304,12874.2696,2841.894,-1333.71007112,0.402977,-1333.507976,-1333.560652,0.325779,-1333.482509,0.403921,0.0,1.0,5.0359,0.128785,12453.455,0.112025,-0.24081,-0.01676,392.2111,3037.887,1.0,48.0,0.378455
CC(C)(C)c1cc2c3c(c1)-c1cc(N)cc(F)c1O[BH-]3Oc1c(F)cc(N)cc1-2,-1334.088865,6.6664,12974.3913,3021.274,-1334.36138061,0.410541,-1334.113843,-1334.16723,0.332176,-1334.08792,0.411485,,1.0,8.6846,-0.004660000000000004,12616.4489,0.10651,-0.10185,0.11117,393.219,3346.143,1.0,49.0,0.385562
CC(C)(C)c1cc2c3c(c1)-c1cc(O)cc(Br)c1OB3Oc1c(Br)cc(O)cc1-2,-6317.190581,6.0228,18075.818,3441.353,-6317.41017173,0.374794,-6317.215635,-6317.271148,0.294227,-6317.189637,0.375738,0.0,1.0,6.5511,0.14434000000000002,17674.2143,0.11445000000000001,-0.25879,-0.02989,515.9919,2698.334,1.0,46.0,0.34974
CC(C)(C)c1cc2c3c(c1)-c1cc(O)cc(Br)c1O[BH-]3Oc1c(Br)cc(O)cc1-2,-6317.808627,3.0019,18205.6913,2882.91,-6318.01624628,0.382191,-6317.834309,-6317.890668,0.30015,-6317.807683,0.383135,,1.0,4.6303,0.009895000000000001,17741.1485,0.106945,-0.11684,0.09705,516.9998,3038.743,1.0,47.0,0.356509
CN(C)c1cc(F)cc2c1OB1Oc3c(cc(F)cc3N(C)C)-c3cc(C(C)(C)C)cc-2c31,-1490.515297,5.0321,16942.6231,3437.234,-1490.88931148,0.523228,-1490.544863,-1490.603806,0.43472,-1490.514353,0.524173,0.0,1.0,0.9497,0.133175,16346.9801,0.115565,-0.24874,-0.01761,448.3183,3641.426,1.0,60.0,0.493663
CN(C)c1cc(F)cc2c1O[BH-]1Oc3c(cc(F)cc3N(C)C)-c3cc(C(C)(C)C)cc-2c31,-1491.128302,2.8732,16978.6892,3948.254,-1491.49809814,0.530574,-1491.157943,-1491.216821,0.442056,-1491.127358,0.531519,,1.0,3.2152,3.500000000000031e-05,16665.6121,0.109675,-0.10971,0.10964,449.3262,3983.195,1.0,61.0,0.500933
CN(C)c1cc(N)cc2c1OB1Oc3c(cc(N)cc3N(C)C)-c3cc(Br)cc-2c31,-3816.847772,4.7543,16787.2514,3102.56,-3817.15673831,0.446288,-3816.874656,-3816.931063,0.362997,-3816.846828,0.447232,0.0,1.0,1.3785,0.122275,16475.8371,0.10763500000000001,-0.22991,-0.01464,465.1554,3102.56,1.0,52.0,0.419403
CN(C)c1cc(N)cc2c1O[BH-]1Oc3c(cc(N)cc3N(C)C)-c3cc(Br)cc-2c31,-3817.456931,3.0086,16481.2116,3557.993,-3817.75919053,0.453432,-3817.484314,-3817.541521,0.368842,-3817.455987,0.454376,,1.0,3.8241,-0.0012899999999999995,15932.9425,0.10536,-0.10407,0.10665,466.1633,3278.151,1.0,53.0,0.426049
CN(C)c1cc(O)c2c(c1)-c1cccc3c1B(O2)Oc1c(O)cc(N(C)C)cc1-3,-1285.40764,3.2775,15549.0184,2868.66,-1285.65491061,0.429523,-1285.43248,-1285.486386,0.350777,-1285.406696,0.430467,0.0,1.0,2.6784,0.121815,15084.585,0.110845,-0.23266,-0.01097,388.2289,3231.017,1.0,50.0,0.404683
CN(C)c1cc(O)c2c(c1)-c1cccc3c1[BH-](O2)Oc1c(O)cc(N(C)C)cc1-3,-1286.03335,3.3364,15406.7845,3156.96,-1286.26902615,0.437145,-1286.057887,-1286.111354,0.35914,-1286.032406,0.438089,,1.0,5.1788,-0.002589999999999995,14849.9778,0.11233,-0.10974,0.11492,389.2368,3342.663,1.0,51.0,0.412608
CN(C)c1cc([N+](=O)[O-])cc2c1OB1Oc3c(cc([N+](=O)[O-])cc3N(C)C)-c3cccc-2c31,-1543.878339,4.111,18072.5301,3532.177,-1544.0523669,0.429744,-1543.905808,-1543.964173,0.343909,-1543.877395,0.430688,0.0,1.0,4.3793,0.16021,17734.4726,0.11283,-0.27304,-0.04738,446.2253,3342.953,1.0,52.0,0.402275
CN(C)c1cc([N+](=O)[O-])cc2c1O[BH-]1Oc3c(cc([N+](=O)[O-])cc3N(C)C)-c3cccc-2c31,-1544.519445,7.9354,17838.5515,3775.791,-1544.76446402,0.437175,-1544.547221,-1544.606014,0.350607,-1544.518501,0.438119,,1.0,4.9796,0.043309999999999994,16407.5384,0.10319,-0.1465,0.05988,447.2332,3174.337,1.0,53.0,0.409399
CN(C)c1cc2c(c(C(F)(F)F)c1)OB1Oc3c(cc(N(C)C)cc3C(F)(F)F)-c3cc(C(F)(F)F)cc-2c31,-2145.821991,4.2361,23753.5457,3775.907,-2146.08794174,0.445469,-2145.855788,-2145.924203,0.343257,-2145.821047,0.446413,0.0,1.0,6.0224,0.138785,23163.1986,0.104695,-0.24348,-0.03409,560.225,3873.56,1.0,57.0,0.411672
CN(C)c1cc2c(c(C(F)(F)F)c1)O[BH-]1Oc3c(cc(N(C)C)cc3C(F)(F)F)-c3cc(C(F)(F)F)cc-2c31,-2146.44952,3.6395,23727.2062,2960.979,-2146.73494929,0.452183,-2146.483089,-2146.55091,0.350793,-2146.448575,0.453127,,1.0,6.1234,0.021169999999999994,21093.5068,0.10661999999999999,-0.12779,0.08545,561.2329,3489.725,1.0,58.0,0.418613
CN(C)c1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C(F)(F)F)c1OB3Oc1c-2cc(C(C)(C)C)cc1C(F)(F)F,-1989.186007,14.0688,26059.0319,3756.22,-1989.59633363,0.597187,-1989.223001,-1989.29419,0.489004,-1989.185063,0.598131,0.0,1.0,7.2627,0.14004,25792.9539,0.11646000000000001,-0.2565,-0.02358,561.3729,3833.668,1.0,70.0,0.560192
CN(C)c1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C(F)(F)F)c1O[BH-]3Oc1c-2cc(C(C)(C)C)cc1C(F)(F)F,-1989.80421,6.5131,26353.9804,4120.284,-1990.22441585,0.604192,-1989.841073,-1989.910433,0.49797,-1989.803266,0.605137,,1.0,6.3123,0.01407,23429.305,0.10918,-0.12325,0.09511,562.3808,3889.24,1.0,71.0,0.56733
CN(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)ccc1OB3Oc1ccc(C(F)(F)F)cc1-2,-1675.077495,7.4,18724.1094,2712.063,-1675.30718262,0.358127,-1675.103404,-1675.163702,0.27192,-1675.07655,0.359072,0.0,1.0,2.8386,0.14284,18259.2315,0.11579999999999999,-0.25864,-0.02704,449.1585,2741.224,1.0,46.0,0.332218
CN(C)c1cc2c3c(c1)-c1cc(C(F)(F)F)ccc1O[BH-]3Oc1ccc(C(F)(F)F)cc1-2,-1675.69743,4.9635,18759.1816,3496.167,-1675.92022437,0.365631,-1675.723331,-1675.781876,0.281186,-1675.696486,0.366575,,1.0,4.8474,0.011379999999999994,17365.9959,0.11063,-0.12201,0.09925,450.1664,2471.428,1.0,47.0,0.33973
CN(C)c1cc2c3c(c1)-c1cc(O)cc(C(C)(C)C)c1OB3Oc1c-2cc(O)cc1C(C)(C)C,-1465.697485,9.5314,17586.8995,4359.163,-1466.06433183,0.590672,-1465.729463,-1465.790897,0.49726,-1465.69654,0.591616,0.0,1.0,3.3986,0.12621000000000002,17054.0467,0.11517000000000001,-0.24138,-0.01104,457.3751,4220.776,1.0,66.0,0.558694
CN(C)c1cc2c3c(c1)-c1cc(O)cc(C(C)(C)C)c1O[BH-]3Oc1c-2cc(O)cc1C(C)(C)C,-1466.305076,1.2037,17567.1725,3736.323,-1466.70859617,0.597054,-1466.337078,-1466.397732,0.504398,-1466.304132,0.597998,,1.0,3.1255,-0.0016549999999999968,17326.0347,0.10853499999999999,-0.10688,0.11019,458.383,4082.279,1.0,67.0,0.565053
CN(C)c1cc2c3c(c1)-c1cc([N+](=O)[O-])cc(O)c1OB3Oc1c(O)cc([N+](=O)[O-])cc1-2,-1560.439307,3.0975,16805.4819,3185.266,-1560.53416922,0.362841,-1560.465236,-1560.522177,0.279972,-1560.438363,0.363785,0.0,1.0,1.3865,0.160345,16499.7221,0.110895,-0.27124,-0.04945,435.1559,3095.117,1.0,46.0,0.336912
CN(C)c1cc2c3c(c1)-c1cc([N+](=O)[O-])cc(O)c1O[BH-]3Oc1c(O)cc([N+](=O)[O-])cc1-2,-1561.085724,7.1161,16911.3312,3434.212,-1561.19628143,0.370641,-1561.111449,-1561.167764,0.2886,-1561.08478,0.371585,,1.0,7.2151,0.045555,16381.3253,0.10201500000000001,-0.14757,0.05646,436.1638,3172.558,1.0,47.0,0.344915
COc1cc(C#N)c2c(c1)-c1cc(N(C)C)cc3c1B(O2)Oc1c(C#N)cc(OC)cc1-3,-1414.519902,18.7086,16161.9085,3360.484,-1414.92224714,0.413049,-1414.547464,-1414.606308,0.326643,-1414.518957,0.413993,0.0,1.0,13.6984,0.15031999999999998,16039.8508,0.1127,-0.26302,-0.03762,423.2339,3360.484,1.0,50.0,0.385487
COc1cc(C#N)c2c(c1)-c1cc(N(C)C)cc3c1[BH-](O2)Oc1c(C#N)cc(OC)cc1-3,-1415.141748,13.913,16380.342,3658.849,-1415.55688999,0.42026,-1415.169615,-1415.229005,0.333003,-1415.140804,0.421204,,1.0,14.0579,0.023704999999999997,16520.1427,0.10353499999999999,-0.12724,0.07983,424.2418,3405.265,1.0,51.0,0.392393
COc1cc(C(F)(F)F)cc2c1OB1Oc3c(OC)cc(C(F)(F)F)cc3-c3cc(O)cc-2c31,-1845.306432,1.7077,20199.5487,2753.856,-1845.47746475,0.356206,-1845.334681,-1845.39694,0.265698,-1845.305487,0.35715,0.0,1.0,1.3904,0.158475,19021.4258,0.122655,-0.28113,-0.03582,482.1421,3324.778,1.0,47.0,0.327957
COc1cc(C(F)(F)F)cc2c1O[BH-]1Oc3c(OC)cc(C(F)(F)F)cc3-c3cc(O)cc-2c31,-1845.934124,4.11,20648.0903,2807.687,-1846.13384442,0.36389,-1845.962547,-1846.024185,0.273829,-1845.93318,0.364835,,1.0,3.3999,0.014865000000000003,19635.4375,0.112585,-0.12745,0.09772,483.15,2994.867,1.0,48.0,0.335467
COc1cc(C)cc2c1OB1Oc3c(OC)cc(C)cc3-c3cc(F)cc-2c31,-1274.004553,0.0751,11928.1928,2479.852,-1274.25425307,0.385048,-1274.028748,-1274.08268,0.306922,-1274.003609,0.385992,0.0,1.0,1.4548,0.14212499999999997,11915.0465,0.11961499999999999,-0.26174,-0.02251,376.1902,2777.435,1.0,46.0,0.360854
COc1cc(Cl)cc2c1OB1Oc3c(OC)cc(Cl)cc3-c3cc(N)cc-2c31,-2070.728368,4.6516,14494.7557,2689.53,-2070.89789792,0.334264,-2070.752109,-2070.805633,0.256998,-2070.727423,0.335208,0.0,1.0,2.5189,0.147245,14322.5627,0.12028499999999999,-0.26753,-0.02696,414.0509,2144.355,1.0,42.0,0.310523
COc1cc(Cl)cc2c1O[BH-]1Oc3c(OC)cc(Cl)cc3-c3cc(N)cc-2c31,-2071.345274,3.4677,14884.8791,3236.878,-2071.56540447,0.342202,-2071.369135,-2071.422797,0.264679,-2071.34433,0.343146,,1.0,3.346,0.00546,15040.59,0.10987,-0.11533,0.10441,415.0588,3485.869,1.0,43.0,0.318341
COc1cc2c(c(C(F)(F)F)c1)OB1Oc3c(cc(OC)cc3C(F)(F)F)-c3cc(N(C)C)cc-2c31,-1903.95156,12.4109,20147.0677,3530.201,-1904.15842181,0.429904,-1903.982609,-1904.047119,0.334345,-1903.950616,0.430848,0.0,1.0,6.5513,0.139655,19882.7462,0.11513500000000002,-0.25479,-0.02452,509.2109,3663.416,1.0,54.0,0.398855
COc1cc2c(c(C(F)(F)F)c1)O[BH-]1Oc3c(cc(OC)cc3C(F)(F)F)-c3cc(N(C)C)cc-2c31,-1904.56492,5.2843,20085.4897,3339.734,-1904.8525111,0.436515,-1904.596094,-1904.660168,0.341267,-1904.563976,0.437459,,1.0,5.4682,0.014605,20040.4993,0.107435,-0.12204,0.09283,510.2188,3602.41,1.0,55.0,0.405341
COc1cc2c(c(N(C)C)c1)OB1Oc3c(cc(OC)cc3N(C)C)-c3cc(Br)cc-2c31,-3935.105851,3.5676,19313.6311,3508.19,-3935.40974621,0.481722,-3935.134754,-3935.194195,0.393378,-3935.104907,0.482666,0.0,1.0,1.0426,0.13053,18420.958,0.11126,-0.24179,-0.01927,495.1786,3424.661,1.0,56.0,0.452819
COc1cc2c(c(N(C)C)c1)O[BH-]1Oc3c(cc(OC)cc3N(C)C)-c3cc(Br)cc-2c31,-3935.718937,2.3788,18997.1831,3674.603,-3936.05660002,0.488613,-3935.748263,-3935.808571,0.398978,-3935.717992,0.489557,,1.0,2.6548,0.0042150000000000035,18343.9794,0.107065,-0.11128,0.10285,496.1865,3173.52,1.0,57.0,0.459286
COc1cc2c3c(c1)-c1cc(Br)cc(OC)c1OB3Oc1c(OC)cc(Br)cc1-2,-6353.082388,4.6578,21640.0573,3731.221,-6353.26138128,0.352014,-6353.107478,-6353.164377,0.270025,-6353.081444,0.352958,0.0,1.0,2.0038,0.145075,20946.9687,0.118815,-0.26389,-0.02626,517.9645,2607.359,1.0,44.0,0.326924
COc1cc2c3c(c1)-c1cc(Br)cc(OC)c1O[BH-]3Oc1c(OC)cc(Br)cc1-2,-6353.699005,3.3275,21708.2114,3409.319,-6353.91257984,0.359173,-6353.724685,-6353.783011,0.275167,-6353.698061,0.360117,,1.0,4.8685,0.012105000000000005,20373.7176,0.110945,-0.12305,0.09884,518.9724,3857.914,1.0,45.0,0.333493
COc1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C#N)c1OB3Oc1c(C#N)cc(C(C)(C)C)cc1-2,-1480.369702,11.5782,21336.2461,3963.26,-1480.89238694,0.537615,-1480.401173,-1480.463008,0.44431,-1480.368758,0.538559,0.0,1.0,11.1547,0.15884,21415.8226,0.11785999999999999,-0.2767,-0.04098,462.3539,4865.784,1.0,62.0,0.506145
COc1cc2c3c(c1)-c1cc(C(C)(C)C)cc(C#N)c1O[BH-]3Oc1c(C#N)cc(C(C)(C)C)cc1-2,-1480.999552,12.7806,21474.992,4187.275,-1481.39196981,0.545343,-1481.031342,-1481.093853,0.451043,-1480.998608,0.546287,,1.0,11.0477,0.027235000000000002,20047.6919,0.10678499999999999,-0.13402,0.07955,463.3618,3357.72,1.0,63.0,0.513553
COc1cc2c3c(c1)-c1cc(Cl)cc(C)c1OB3Oc1c(C)cc(Cl)cc1-2,-1979.522993,0.9704,13937.2161,3162.075,-1979.73026156,0.340227,-1979.545544,-1979.597299,0.265921,-1979.522049,0.341171,0.0,1.0,2.0829,0.14607,12940.8323,0.11924,-0.26531,-0.02683,397.0637,3016.693,1.0,42.0,0.317676
COc1cc2c3c(c1)-c1cc(Cl)cc(C)c1O[BH-]3Oc1c(C)cc(Cl)cc1-2,-1980.141125,1.4344,14034.1084,2827.773,-1980.36127115,0.347732,-1980.164114,-1980.21667,0.272187,-1980.140181,0.348676,,1.0,2.3998,0.008539999999999999,13622.4835,0.11016999999999999,-0.11871,0.10163,398.0716,2972.787,1.0,43.0,0.324743
COc1cc2c3c(c1)-c1cc(N)cc(O)c1OB3Oc1c(O)cc(N)cc1-2,-1242.834343,3.4623,11178.1325,2722.983,-1242.96430951,0.345375,-1242.856288,-1242.905737,0.273981,-1242.833399,0.346319,0.0,1.0,4.9955,0.12547999999999998,10326.9495,0.11163,-0.23711,-0.01385,362.1479,2837.635,1.0,42.0,0.32343
COc1cc2c3c(c1)-c1cc(N)cc(O)c1O[BH-]3Oc1c(O)cc(N)cc1-2,-1243.443397,2.5026,11183.7666,2665.006,-1243.59858088,0.353016,-1243.465791,-1243.516703,0.279711,-1243.442453,0.35396,,1.0,3.526,-0.004635,11065.1635,0.108875,-0.10424,0.11351,363.1558,2633.653,1.0,43.0,0.330622
COc1cc2c3c(c1)-c1cc(O)cc(C(F)(F)F)c1OB3Oc1c-2cc(O)cc1C(F)(F)F,-1806.05476,8.5495,15800.8098,3279.39,-1806.20769935,0.325994,-1806.081069,-1806.137791,0.242963,-1806.053816,0.326938,0.0,1.0,8.2658,0.150365,15852.4748,0.11433499999999999,-0.2647,-0.03603,468.1153,2547.383,1.0,44.0,0.299685
COc1cc2c3c(c1)-c1cc(O)cc(C(F)(F)F)c1O[BH-]3Oc1c-2cc(O)cc1C(F)(F)F,-1806.673079,4.6233,15875.9854,2904.07,-1806.84105796,0.332989,-1806.700223,-1806.75875,0.247318,-1806.672135,0.333933,,1.0,7.9642,0.016560000000000005,15743.0587,0.10585,-0.12241,0.08929,469.1232,3102.075,1.0,45.0,0.305845
COc1cc2c3c(c1)-c1cc([N+](=O)[O-])cc(N)c1OB3Oc1c(N)cc([N+](=O)[O-])cc1-2,-1501.306119,2.8566,16013.8779,3361.5,-1501.40338057,0.345564,-1501.330761,-1501.385324,0.266359,-1501.305174,0.346508,0.0,1.0,3.8494,0.159995,15766.9828,0.11461500000000001,-0.27461,-0.04538,420.1443,3147.586,1.0,44.0,0.320922
COc1cc2c3c(c1)-c1cc([N+](=O)[O-])cc(N)c1O[BH-]3Oc1c(N)cc([N+](=O)[O-])cc1-2,-1501.943461,5.451,16129.1962,2811.758,-1502.00973541,0.353643,-1501.968423,-1502.023491,0.273613,-1501.942517,0.354587,,1.0,2.8649,0.03801,13724.143,0.10013999999999999,-0.13815,0.06213,421.1522,2617.844,1.0,45.0,0.328681
COc1cc2c3c(c1)-c1cc([N+](=O)[O-])cc(OC)c1OB3Oc1c(OC)cc([N+](=O)[O-])cc1-2,-1619.542193,2.6447,17550.7535,3311.624,-1619.62206984,0.380176,-1619.569622,-1619.628834,0.293535,-1619.541249,0.38112,0.0,1.0,9.0944,0.171765,16128.5355,0.11917499999999999,-0.29094,-0.05259,450.1675,3514.377,1.0,48.0,0.352747
COc1cc2c3c(c1)-c1cc([N+](=O)[O-])cc(OC)c1O[BH-]3Oc1c(OC)cc([N+](=O)[O-])cc1-2,-1620.183386,2.8224,17633.7722,3581.152,-1620.34501532,0.387845,-1620.211301,-1620.271894,0.299336,-1620.182441,0.388789,,1.0,1.4796,0.047549999999999995,16809.1687,0.10412,-0.15167,0.05657,451.1754,3223.036,1.0,49.0,0.359929
COc1ccc2c(c1)-c1cc(O)cc3c1B(O2)Oc1ccc(OC)cc1-3,-1171.456087,1.84,11763.4054,2878.048,-1171.62465789,0.338828,-1171.476389,-1171.5249,0.270015,-1171.455143,0.339772,0.0,1.0,1.0478,0.13249,11108.7721,0.11460000000000001,-0.24709,-0.01789,346.1455,2511.238,1.0,41.0,0.318526
COc1ccc2c(c1)-c1cc(O)cc3c1[BH-](O2)Oc1ccc(OC)cc1-3,-1172.056556,3.985,11620.9051,2791.146,-1172.27282398,0.345642,-1172.077597,-1172.127831,0.274367,-1172.055612,0.346586,,1.0,4.9308,-0.003999999999999997,11608.1871,0.1068,-0.1028,0.1108,347.1534,2442.253,1.0,42.0,0.324601
COc1cccc2c1OB1Oc3c(OC)cccc3-c3cc(Cl)cc-2c31,-1555.834398,0.6572,10354.1229,2846.271,-1555.99399698,0.324541,-1555.855257,-1555.90523,0.253709,-1555.833453,0.325486,0.0,1.0,3.2225,0.14826,9899.8885,0.12154999999999999,-0.26981,-0.02671,364.5912,2551.83,1.0,40.0,0.303682
COc1cccc2c1O[BH-]1Oc3c(OC)cccc3-c3cc(Cl)cc-2c31,-1556.454862,2.1561,10325.7784,2591.616,-1556.65400324,0.332041,-1556.47594,-1556.526046,0.260857,-1556.453918,0.332986,,1.0,1.8493,0.00741,10730.8948,0.11327,-0.12068,0.10586,365.5991,2425.486,1.0,41.0,0.310964
Cc1cc(Br)c2c(c1)-c1cc(F)cc3c1B(O2)Oc1c(Br)cc(C)cc1-3,-6187.510758,1.7841,14834.9553,2708.238,-6187.6795321,0.296644,-6187.532343,-6187.585047,0.222355,-6187.509813,0.297588,0.0,1.0,3.806,0.1522,14548.763,0.11889,-0.27109,-0.03331,473.93,2901.684,1.0,38.0,0.275058
Cc1cc(Br)c2c(c1)-c1cc(F)cc3c1[BH-](O2)Oc1c(Br)cc(C)cc1-3,-6188.132116,0.7407,15014.3472,2385.14,-6188.33479118,0.304094,-6188.154139,-6188.207474,0.228735,-6188.131172,0.305038,,1.0,2.841,0.013554999999999998,14857.4445,0.109485,-0.12304,0.09593,474.9379,2500.55,1.0,39.0,0.282071
