can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,charge,converged,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,multiplicity,number_of_atoms,zero_point_correction
N#Cc1cc2c(c(C(F)(F)F)c1C#N)N[BH-]1Nc3c(cc(C#N)c(C#N)c3C(F)(F)F)N12,-1695.415434,11.1716,15373.2481,2744.239,-1695.65948182,0.245276,-1695.441576,-1695.500409,0.160301,-1695.41449,0.24622,,1.0,8.8137,0.046259999999999996,15398.0057,0.09623999999999999,-0.1425,0.04998,444.0848,2893.383,1.0,37.0,0.219134
N#Cc1cc2c(cc1[N+](=O)[O-])N1B(N2)Nc2cc(C#N)c([N+](=O)[O-])cc21,-1245.304105,9.593,11018.7226,2416.129,-1245.50500549,0.230202,-1245.323987,-1245.375059,0.159247,-1245.30316,0.231146,0.0,1.0,10.244,0.18692999999999999,11022.4395,0.11497,-0.3019,-0.07196,347.0559,2572.009,1.0,32.0,0.210319
N#Cc1cc2c(cc1[N+](=O)[O-])N1[BH-](N2)Nc2cc(C#N)c([N+](=O)[O-])cc21,-1245.962318,10.9067,10384.2708,2685.32,-1246.00641708,0.237552,-1245.982626,-1246.033735,0.166135,-1245.961374,0.238496,,1.0,5.9722,0.04052000000000001,11361.7299,0.08860000000000001,-0.12912,0.04808,348.0638,2371.08,1.0,33.0,0.217244
N#Cc1ccc2c(c1F)NB1Nc3c(ccc(C#N)c3F)N12,-1034.898442,3.1147,8289.8104,2238.33,-1035.08421731,0.204948,-1034.915002,-1034.959334,0.144057,-1034.897498,0.205892,0.0,1.0,2.5835,0.157775,8287.4367,0.123255,-0.28103,-0.03452,293.0417,2166.894,1.0,28.0,0.188388
N#Cc1ccc2c(c1F)N[BH-]1Nc3c(ccc(C#N)c3F)N12,-1035.528998,3.8306,7909.9934,1819.312,-1035.64206408,0.211767,-1035.546119,-1035.591285,0.149479,-1035.528054,0.212711,,1.0,1.5714,-0.0010799999999999976,7866.5289,0.09909,-0.09801,0.10017,294.0496,2313.125,1.0,29.0,0.194645
Nc1c(Br)cc2c(c1Cl)NB1Nc3c(cc(Br)c(N)c3Cl)N12,-6824.218682,2.5563,14812.4077,2267.601,-6824.30671264,0.221575,-6824.238174,-6824.287608,0.152648,-6824.217737,0.222519,0.0,1.0,3.6624,0.10632,14354.0999,0.12326999999999999,-0.22959,0.01695,463.7527,2483.563,1.0,30.0,0.202082
Nc1c(Br)cc2c(c1Cl)N[BH-]1Nc3c(cc(Br)c(N)c3Cl)N12,-6824.835345,1.7771,13745.8287,2943.439,-6824.94056498,0.228973,-6824.855419,-6824.906022,0.158296,-6824.834401,0.229917,,1.0,3.0398,-0.03448,14323.6879,0.11355,-0.07907,0.14803,464.7606,2487.907,1.0,31.0,0.208899
Nc1c(Br)cc2c(c1[N+](=O)[O-])NB1Nc3c(cc(Br)c(N)c3[N+](=O)[O-])N12,-6313.913098,6.3009,16343.384,2619.787,-6313.92085066,0.249191,-6313.935417,-6313.990019,0.17227,-6313.912154,0.250135,0.0,1.0,3.4426,0.148165,15674.3525,0.091865,-0.24003,-0.0563,484.8577,2585.317,1.0,34.0,0.226871
Nc1c(Br)cc2c(c1[N+](=O)[O-])N[BH-]1Nc3c(cc(Br)c(N)c3[N+](=O)[O-])N12,-6314.549939,10.1974,15001.5795,2541.432,-6314.58347607,0.257587,-6314.571706,-6314.624961,0.182565,-6314.548995,0.258531,,1.0,5.8776,0.015414999999999998,16221.419,0.085705,-0.10112,0.07029,485.8656,2778.633,1.0,35.0,0.23582
Nc1ccc2c(c1Cl)NB1Nc3c(ccc(N)c3Cl)N12,-1681.833228,2.3947,8321.7452,2424.02,-1681.93794353,0.238412,-1681.849845,-1681.893713,0.177927,-1681.832284,0.239356,0.0,1.0,1.7784,0.09215999999999999,8352.7941,0.12547,-0.21763,0.03331,305.9605,2085.178,1.0,30.0,0.221795
Nc1ccc2c(c1Cl)N[BH-]1Nc3c(ccc(N)c3Cl)N12,-1682.435391,3.4892,7803.8073,2060.59,-1682.54127741,0.245303,-1682.452577,-1682.497563,0.18313,-1682.434447,0.246247,,1.0,5.2798,-0.057390000000000004,7362.7608,0.11868000000000001,-0.06129,0.17607,306.9684,2032.363,1.0,31.0,0.228116
O=[N+]([O-])c1c(C(F)(F)F)cc2c(c1Br)NB1Nc3c(cc(C(F)(F)F)c([N+](=O)[O-])c3Br)N12,-6877.102105,6.1765,22532.5727,2782.09,-6877.08516722,0.230021,-6877.12839,-6877.187746,0.144381,-6877.101161,0.230965,0.0,1.0,5.4307,0.180385,22383.115,0.122505,-0.30289,-0.05788,590.8251,2853.426,1.0,36.0,0.203737
O=[N+]([O-])c1c(C(F)(F)F)cc2c(c1Br)N[BH-]1Nc3c(cc(C(F)(F)F)c([N+](=O)[O-])c3Br)N12,-6877.756073,5.8696,20966.9716,2424.188,-6877.80651441,0.237444,-6877.78287,-6877.843103,0.150413,-6877.755129,0.238388,,1.0,3.6803,0.03431000000000001,22234.9109,0.09223,-0.12654,0.05792,591.833,3075.462,1.0,37.0,0.210646
O=[N+]([O-])c1c(F)cc2c(c1Br)NB1Nc3c(cc(F)c([N+](=O)[O-])c3Br)N12,-6401.665197,4.4115,17085.4075,2755.296,-6401.6372208,0.197592,-6401.686182,-6401.73842,0.124368,-6401.664253,0.198536,0.0,1.0,6.7659,0.17477,16776.1712,0.1172,-0.29197,-0.05757,490.8095,2284.88,1.0,30.0,0.176607
