can,APT_charge,ES_root_Mulliken_charge,ES_root_NPA_Rydberg,ES_root_NPA_charge,ES_root_NPA_core,ES_root_NPA_total,ES_root_NPA_valence,Mulliken_charge,NMR_anisotropy,NMR_shift,NPA_Rydberg,NPA_charge,NPA_core,NPA_total,NPA_valence,VBur,X,Y,Z
Cc1c2c(cc(F)c1[N+](=O)[O-])N1[BH-](N2)Nc2c1cc(F)c([N+](=O)[O-])c2C,1.08678,0.517255,0.0172,0.66749,1.99922,4.33251,2.31609,0.53707,15.4046,105.8148,0.01724,0.69568,1.99924,4.30432,2.28784,0.6013215859030837,-0.011389,2.160406,-1.004575
Cc1cc(Br)cc2c1NB1Nc3c(C)cc(Br)cc3N12,1.05022,0.662217,0.01677,1.03308,1.99892,3.96692,1.95123,0.664489,16.3484,90.4852,0.01619,1.04475,1.99892,3.95525,1.94014,0.604153555695406,-5e-06,2.626822,-5.4e-05
Cc1cc(Br)cc2c1N[BH-]1Nc3c(C)cc(Br)cc3N12,1.146163,0.514562,0.01887,0.66322,1.99923,4.33678,2.31867,0.540938,16.1969,106.115,0.01764,0.69402,1.99926,4.30598,2.28908,0.6030522341095028,-3.2e-05,2.870623,0.924715
Cc1cc(Cl)c2c(c1)N1B(N2)Nc2c(Cl)cc(C)cc21,1.067889,0.667834,0.01679,1.03622,1.99892,3.96378,1.94807,0.670227,16.1399,90.331,0.01626,1.04968,1.99892,3.95032,1.93514,0.6035242290748899,-3e-06,-1.490225,-0.000128
Cc1cc(Cl)c2c(c1)N1[BH-](N2)Nc2c(Cl)cc(C)cc21,1.146587,0.522282,0.01834,0.66346,1.99921,4.33654,2.31899,0.548691,14.6038,106.6348,0.01705,0.69374,1.99924,4.30626,2.28997,0.6015575833857773,8.8e-05,-1.649901,-1.132555
Cc1cc2c(c(Br)c1[N+](=O)[O-])NB1Nc3c(cc(C)c([N+](=O)[O-])c3Br)N12,1.098577,0.688863,0.0164,1.06746,1.99894,3.93254,1.9172,0.683025,16.737,89.6446,0.0163,1.05962,1.99894,3.94038,1.92515,0.6030522341095028,1.8e-05,-1.318589,-0.017329
Cc1cc2c(c(Br)c1[N+](=O)[O-])N[BH-]1Nc3c(cc(C)c([N+](=O)[O-])c3Br)N12,1.131072,0.530056,0.01645,0.66858,1.9992,4.33142,2.31578,0.547579,13.1451,106.6673,0.01645,0.69336,1.99922,4.30664,2.29096,0.6000629326620516,9.4e-05,-1.53427,1.374475
Cc1cc2c(c(C(C)(C)C)c1[N+](=O)[O-])NB1Nc3c(cc(C)c([N+](=O)[O-])c3C(C)(C)C)N12,1.111639,0.6678,0.01676,1.05852,1.99893,3.94148,1.9258,0.656686,17.1709,90.5912,0.0166,1.04688,1.99892,3.95312,1.93759,0.6153241032095658,-8e-06,-1.359503,-2.2e-05
Cc1cc2c(c(C(C)(C)C)c1[N+](=O)[O-])N[BH-]1Nc3c(cc(C)c([N+](=O)[O-])c3C(C)(C)C)N12,1.15671,0.520528,0.01727,0.67273,1.99923,4.32727,2.31078,0.530268,16.0602,107.5412,0.01759,0.69188,1.99925,4.30812,2.29128,0.6065135305223411,1.6e-05,-1.370971,-1.543463
Cc1cc2c(c(N)c1C)NB1Nc3c(cc(C)c(C)c3N)N12,1.02045,0.650652,0.01698,1.02826,1.99893,3.97174,1.95583,0.654953,18.3194,89.792,0.01641,1.04246,1.99894,3.95754,1.94219,0.60509754562618,2e-06,-1.786577,-0.000201
Cc1cc2c(c(N)c1C)N[BH-]1Nc3c(cc(C)c(C)c3N)N12,1.127055,0.502825,0.02063,0.66532,1.99926,4.33468,2.31479,0.52819,17.3231,105.6583,0.0192,0.69572,1.99929,4.30428,2.2858,0.6069068596601637,0.000149,-2.026096,-1.009994
