SMILES,FIA,group
CN(C)c1c2c(cc([N+](=O)[O-])c1C(F)(F)F)N1B(O2)Oc2c1cc([N+](=O)[O-])c(C(F)(F)F)c2N(C)C,460.36309925839305,original
CN(C)c1cc(C(C)(C)C)cc2c1OB1Oc3c(N(C)C)cc(C(C)(C)C)cc3N12,343.3187466766685,original
CN(C)c1cc(C(F)(F)F)cc2c1OB1Oc3c(N(C)C)cc(C(F)(F)F)cc3N12,385.1091746762395,original
CN(C)c1cc(Cl)c2c(c1)N1B(O2)Oc2c(Cl)cc(N(C)C)cc21,365.6133654117584,original
CN(C)c1cc(O)c2c(c1)N1B(O2)Oc2c(O)cc(N(C)C)cc21,313.24377316143364,original
CN(C)c1cc2c(c(Br)c1C#N)OB1Oc3c(cc(N(C)C)c(C#N)c3Br)N12,444.9250793159008,original
CN(C)c1cc2c(c(C#N)c1N(C)C)OB1Oc3c(cc(N(C)C)c(N(C)C)c3C#N)N12,403.4820312494412,coverage
CN(C)c1cc2c(c(C(F)(F)F)c1C(C)(C)C)OB1Oc3c(cc(N(C)C)c(C(C)(C)C)c3C(F)(F)F)N12,396.3704176237807,coverage
CN(C)c1cc2c(c(F)c1Cl)OB1Oc3c(cc(N(C)C)c(Cl)c3F)N12,386.4749861350283,kmeans
CN(C)c1cc2c(c([N+](=O)[O-])c1F)OB1Oc3c(cc(N(C)C)c(F)c3[N+](=O)[O-])N12,435.52145652566105,original
CN(C)c1cc2c(cc1Br)OB1Oc3cc(Br)c(N(C)C)cc3N12,377.04833770543337,original
CN(C)c1cc2c(cc1Cl)N1B(O2)Oc2cc(N(C)C)c(Cl)cc21,371.2182832369581,original
CN(C)c1cc2c(cc1O)N1B(O2)Oc2cc(N(C)C)c(O)cc21,306.86428026482463,original
CN(C)c1cc2c(cc1O)OB1Oc3cc(O)c(N(C)C)cc3N12,345.44713466987014,original
CN(C)c1ccc2c(c1)N1B(O2)Oc2ccc(N(C)C)cc21,329.31348844990134,original
CN(C)c1ccc2c(c1)OB1Oc3cc(N(C)C)ccc3N12,333.7807324072346,original
CN(C)c1ccc2c(c1C#N)OB1Oc3c(ccc(N(C)C)c3C#N)N12,407.31452640146017,original
CN(C)c1ccc2c(c1Cl)OB1Oc3c(ccc(N(C)C)c3Cl)N12,371.0338943591341,original
CN(C)c1ccc2c(c1N(C)C)OB1Oc3c(ccc(N(C)C)c3N(C)C)N12,356.9477444700897,original
CN(C)c1cccc2c1OB1Oc3c(N(C)C)cccc3N12,340.14165251515806,original
COc1c(Br)c(F)cc2c1OB1Oc3c(cc(F)c(Br)c3OC)N12,400.5737384222448,original
