SMILES,FIA,HIA,reorg_nrj
N#Cc1cc2c3c(c1)-c1cc(N)cc(O)c1OB3Oc1c(O)cc(N)cc1-2,350.3198603997007,472.46736295707524,177.37452200021835
Nc1cc(Br)cc2c1OB1Oc3c(N)cc(Br)cc3-c3cc(O)cc-2c31,328.2133863978088,447.5590769574046,180.2906820003045
Nc1cc(Cl)c2c(c1)-c1cc(N)cc3c1B(O2)Oc1c(Cl)cc(N)cc1-3,292.14330040011555,413.6499549569562,180.07984800005943
Nc1cc(O)c2c(c1)-c1cc(Cl)cc3c1B(O2)Oc1c(O)cc(N)cc1-3,331.0211004000157,451.4273309567943,179.16974399990977
Nc1cc(O)c2c(c1)-c1cccc3c1B(O2)Oc1c(O)cc(N)cc1-3,334.64625439886004,454.9214189564809,157.57393599988063
Nc1cccc2c1OB1Oc3c(N)cccc3-c3cc(Cl)cc-2c31,314.9687783997506,435.6452529570088,178.49798199995348
O=[N+]([O-])c1cc(Cl)c2c(c1)-c1cc(Br)cc3c1B(O2)Oc1c(Cl)cc([N+](=O)[O-])cc1-3,425.4291543979198,554.0679469574243,181.6174100016724
O=[N+]([O-])c1cc(O)c2c(c1)-c1cc(Br)cc3c1B(O2)Oc1c(O)cc([N+](=O)[O-])cc1-3,394.92673440277576,556.5013649594039,194.57573199933904
O=[N+]([O-])c1cc2c3c(c1)-c1cccc(Cl)c1OB3Oc1c(Cl)cccc1-2,368.91038040071726,494.7712809573859,175.53065399947627
O=[N+]([O-])c1cc2c3c(c1)-c1cccc([N+](=O)[O-])c1OB3Oc1c-2cccc1[N+](=O)[O-],408.0253003994003,538.653586957138,178.81682000015644
O=[N+]([O-])c1cccc2c1OB1Oc3c(cccc3[N+](=O)[O-])-c3cc(O)cc-2c31,362.9691724004224,489.35519495699555,181.97878399955698
Oc1cc(O)c2c(c1)-c1cc(Br)cc3c1B(O2)Oc1c(O)cc(O)cc1-3,364.27393040060997,485.72985895723104,159.38228800023353
Oc1cc2c3c(c1)-c1cc(Br)cc(Cl)c1OB3Oc1c(Cl)cc(Br)cc1-2,355.84332640096545,480.02166295424104,179.08149999966554
Oc1ccc2c(c1)-c1cccc3c1B(O2)Oc1ccc(O)cc1-3,291.7219183994457,411.7635509571992,174.00333600007798
c1ccc2c(c1)OB1Oc3ccccc3-c3cccc-2c31,288.362824,,175.762423
