SMILES,FIA
Brc1cc(Br)c2c(c1)N1B(O2)Oc2c(Br)cc(Br)cc21,416.679895658046
Brc1ccc2c(c1)N1B(O2)Oc2ccc(Br)cc21,379.5528548564762
Brc1ccc2c(c1)OB1Oc3cc(Br)ccc3N12,382.61626223661005
Brc1ccc2c(c1Br)OB1Oc3c(ccc(Br)c3Br)N12,410.1484388075769
Brc1cccc2c1OB1Oc3c(Br)cccc3N12,378.32020876556635
CC(C)(C)c1c(C#N)c(C#N)cc2c1OB1Oc3c(cc(C#N)c(C#N)c3C(C)(C)C)N12,477.6998809436336
CC(C)(C)c1c(C(F)(F)F)cc2c(c1N)OB1Oc3c(cc(C(F)(F)F)c(C(C)(C)C)c3N)N12,384.6726327575743
CC(C)(C)c1c(F)c(Br)cc2c1OB1Oc3c(cc(Br)c(F)c3C(C)(C)C)N12,399.27928806096315
CC(C)(C)c1c(F)ccc2c1OB1Oc3c(ccc(F)c3C(C)(C)C)N12,368.04536624532193
CC(C)(C)c1c(N)cc2c(c1[N+](=O)[O-])OB1Oc3c(cc(N)c(C(C)(C)C)c3[N+](=O)[O-])N12,388.5450617680326
CC(C)(C)c1c(O)cc2c(c1O)OB1Oc3c(cc(O)c(C(C)(C)C)c3O)N12,374.3289233651012
CC(C)(C)c1c([N+](=O)[O-])cc2c(c1N)OB1Oc3c(cc([N+](=O)[O-])c(C(C)(C)C)c3N)N12,407.1945147877559
CC(C)(C)c1c2c(cc(Cl)c1C(F)(F)F)N1B(O2)Oc2c1cc(Cl)c(C(F)(F)F)c2C(C)(C)C,427.0018133968115
CC(C)(C)c1cc(F)cc2c1OB1Oc3c(cc(F)cc3C(C)(C)C)N12,351.5901487627998
CC(C)(C)c1cc2c(c(Br)c1Cl)OB1Oc3c(cc(C(C)(C)C)c(Cl)c3Br)N12,405.06633683666587
CC(C)(C)c1cc2c(c(C(C)(C)C)c1O)OB1Oc3c(cc(C(C)(C)C)c(O)c3C(C)(C)C)N12,365.206045310013
CC(C)(C)c1cc2c(c(C(F)(F)F)c1)OB1Oc3c(cc(C(C)(C)C)cc3C(F)(F)F)N12,389.96616626065224
CC(C)(C)c1cc2c(c(C(F)(F)F)c1N)OB1Oc3c(cc(C(C)(C)C)c(N)c3C(F)(F)F)N12,374.32254339940846
CC(C)(C)c1cc2c(c(O)c1[N+](=O)[O-])OB1Oc3c(cc(C(C)(C)C)c([N+](=O)[O-])c3O)N12,433.8435518583283
CC(C)(C)c1cc2c(c([N+](=O)[O-])c1N)OB1Oc3c(cc(C(C)(C)C)c(N)c3[N+](=O)[O-])N12,405.6169567378238
CC(C)(C)c1cc2c(cc1Br)OB1Oc3cc(Br)c(C(C)(C)C)cc3N12,380.62072455510497
CC(C)(C)c1cc2c(cc1C#N)N1B(O2)Oc2cc(C(C)(C)C)c(C#N)cc21,429.0131303342059
CC(C)(C)c1cc2c(cc1F)N1B(O2)Oc2cc(C(C)(C)C)c(F)cc21,356.5237786974758
CC(C)(C)c1cc2c(cc1F)OB1Oc3cc(F)c(C(C)(C)C)cc3N12,353.6690198201686
CC(C)(C)c1cc2c(cc1O)N1B(O2)Oc2cc(C(C)(C)C)c(O)cc21,326.2632610825822
CC(C)(C)c1ccc2c(c1O)OB1Oc3c(ccc(C(C)(C)C)c3O)N12,354.17910199891776
CN(C)c1c(Br)c(N)cc2c1OB1Oc3c(cc(N)c(Br)c3N(C)C)N12,357.8800333328545
CN(C)c1c(C#N)c(C(F)(F)F)cc2c1OB1Oc3c(cc(C(F)(F)F)c(C#N)c3N(C)C)N12,445.8117369906977
CN(C)c1c(C#N)cc2c(c1O)OB1Oc3c(cc(C#N)c(N(C)C)c3O)N12,441.0850227251649
CN(C)c1c(C#N)cc2c(c1[N+](=O)[O-])OB1Oc3c(cc(C#N)c(N(C)C)c3[N+](=O)[O-])N12,477.33603912685066
CN(C)c1c(C(F)(F)F)cc2c(c1C(F)(F)F)OB1Oc3c(cc(C(F)(F)F)c(N(C)C)c3C(F)(F)F)N12,436.10037931986153
CN(C)c1c(Cl)c(Br)cc2c1OB1Oc3c(cc(Br)c(Cl)c3N(C)C)N12,398.23244862258434
CN(C)c1c(Cl)c(F)cc2c1OB1Oc3c(cc(F)c(Cl)c3N(C)C)N12,382.4888729667291
CN(C)c1c(N)ccc2c1OB1Oc3c(ccc(N)c3N(C)C)N12,335.4979854458943
CN(C)c1c(O)c(C#N)cc2c1OB1Oc3c(cc(C#N)c(O)c3N(C)C)N12,416.244535212405
CN(C)c1c(O)cc2c(c1C(C)(C)C)OB1Oc3c(cc(O)c(N(C)C)c3C(C)(C)C)N12,346.79364870209247
CN(C)c1c(O)cc2c(c1O)OB1Oc3c(cc(O)c(N(C)C)c3O)N12,326.2165796896443
CN(C)c1c(O)ccc2c1OB1Oc3c(ccc(O)c3N(C)C)N12,332.1576928170398
CN(C)c1c2c(cc(C(C)(C)C)c1[N+](=O)[O-])N1B(O2)Oc2c1cc(C(C)(C)C)c([N+](=O)[O-])c2N(C)C,417.5457856217399
CN(C)c1c2c(cc([N+](=O)[O-])c1C(C)(C)C)N1B(O2)Oc2c1cc([N+](=O)[O-])c(C(C)(C)C)c2N(C)C,430.81222809292376
CN(C)c1c2c(cc([N+](=O)[O-])c1C(F)(F)F)N1B(O2)Oc2c1cc([N+](=O)[O-])c(C(F)(F)F)c2N(C)C,460.36309925839305
CN(C)c1cc(C(C)(C)C)cc2c1OB1Oc3c(N(C)C)cc(C(C)(C)C)cc3N12,343.3187466766685
CN(C)c1cc(C(F)(F)F)cc2c1OB1Oc3c(N(C)C)cc(C(F)(F)F)cc3N12,385.1091746762395
CN(C)c1cc(Cl)c2c(c1)N1B(O2)Oc2c(Cl)cc(N(C)C)cc21,365.6133654117584
CN(C)c1cc(O)c2c(c1)N1B(O2)Oc2c(O)cc(N(C)C)cc21,313.24377316143364
CN(C)c1cc2c(c(Br)c1C#N)OB1Oc3c(cc(N(C)C)c(C#N)c3Br)N12,444.9250793159008
CN(C)c1cc2c(c(C#N)c1N(C)C)OB1Oc3c(cc(N(C)C)c(N(C)C)c3C#N)N12,403.4820312494412
CN(C)c1cc2c(c(C(F)(F)F)c1C(C)(C)C)OB1Oc3c(cc(N(C)C)c(C(C)(C)C)c3C(F)(F)F)N12,396.37041762378067
CN(C)c1cc2c(c(F)c1Cl)OB1Oc3c(cc(N(C)C)c(Cl)c3F)N12,386.4749861350283
CN(C)c1cc2c(c([N+](=O)[O-])c1F)OB1Oc3c(cc(N(C)C)c(F)c3[N+](=O)[O-])N12,435.52145652566105
CN(C)c1cc2c(cc1Br)OB1Oc3cc(Br)c(N(C)C)cc3N12,377.04833770543337
CN(C)c1cc2c(cc1Cl)N1B(O2)Oc2cc(N(C)C)c(Cl)cc21,371.2182832369581
CN(C)c1cc2c(cc1O)N1B(O2)Oc2cc(N(C)C)c(O)cc21,306.86428026482463
CN(C)c1cc2c(cc1O)OB1Oc3cc(O)c(N(C)C)cc3N12,345.44713466987014
CN(C)c1ccc2c(c1)N1B(O2)Oc2ccc(N(C)C)cc21,329.31348844990134
CN(C)c1ccc2c(c1)OB1Oc3cc(N(C)C)ccc3N12,333.7807324072346
CN(C)c1ccc2c(c1C#N)OB1Oc3c(ccc(N(C)C)c3C#N)N12,407.31452640146017
CN(C)c1ccc2c(c1Cl)OB1Oc3c(ccc(N(C)C)c3Cl)N12,371.03389435913414
CN(C)c1ccc2c(c1N(C)C)OB1Oc3c(ccc(N(C)C)c3N(C)C)N12,356.9477444700897
CN(C)c1cccc2c1OB1Oc3c(N(C)C)cccc3N12,340.14165251515806
COc1c(Br)c(F)cc2c1OB1Oc3c(cc(F)c(Br)c3OC)N12,400.5737384222448
COc1c(Br)cc2c(c1N)OB1Oc3c(cc(Br)c(OC)c3N)N12,376.39269779622555
COc1c(Br)cc2c(c1OC)OB1Oc3c(cc(Br)c(OC)c3OC)N12,389.1735802590847
COc1c(C#N)c(Cl)cc2c1OB1Oc3c(cc(Cl)c(C#N)c3OC)N12,453.21885066479445
COc1c(C#N)cc2c(c1C(C)(C)C)OB1Oc3c(cc(C#N)c(OC)c3C(C)(C)C)N12,426.23296191729605
COc1c(C(C)(C)C)cc2c(c1O)OB1Oc3c(cc(C(C)(C)C)c(OC)c3O)N12,372.82398664951324
COc1c(C(C)(C)C)ccc2c1OB1Oc3c(ccc(C(C)(C)C)c3OC)N12,369.9086312279105
COc1c(C)cc2c(c1C#N)OB1Oc3c(cc(C)c(OC)c3C#N)N12,421.2423848826438
COc1c(C)cc2c(c1F)OB1Oc3c(cc(C)c(OC)c3F)N12,362.4789907615632
COc1c(Cl)c(C)cc2c1OB1Oc3c(cc(C)c(Cl)c3OC)N12,379.47432614769787
