SMILES,FIA,HIA
Cc1c(Br)cc2c(c1C(C)(C)C)OB1Oc3c(cc(Br)c(C)c3C(C)(C)C)N12,377.5449543967843,377.5449543967843
Cc1c(Cl)c(N)cc2c1OB1Oc3c(cc(N)c(Cl)c3C)N12,354.36408240161836,354.36408240161836
Cc1c(N(C)C)cc2c(c1O)OB1Oc3c(cc(N(C)C)c(C)c3O)N12,361.4533983999863,361.4533983999863
Cc1c(O)cc2c(c1O)OB1Oc3c(cc(O)c(C)c3O)N12,358.5510703995824,358.5510703995824
Cc1c2c(cc(F)c1N(C)C)N1B(O2)Oc2c1cc(F)c(N(C)C)c2C,368.6466624001041,368.6466624001041
Cc1c2c(cc(N)c1C(C)(C)C)N1B(O2)Oc2c1cc(N)c(C(C)(C)C)c2C,338.673134399578,338.673134399578
Cc1cc2c(c(Cl)c1N)OB1Oc3c(cc(C)c(N)c3Cl)N12,363.480098400265,363.480098400265
Cc1cc2c(c(F)c1O)OB1Oc3c(cc(C)c(O)c3F)N12,369.3222203999758,369.3222203999758
Cc1cc2c(c(N)c1Cl)OB1Oc3c(cc(C)c(Cl)c3N)N12,364.1834763996303,364.1834763996303
Cc1cc2c(c(O)c1Br)OB1Oc3c(cc(C)c(Br)c3O)N12,384.6435263976455,384.6435263976455
Cc1ccc2c(c1C(F)(F)F)OB1Oc3c(ccc(C)c3C(F)(F)F)N12,391.24804639909416,391.24804639909416
Clc1cc2c(cc1Br)OB1Oc3cc(Br)c(Cl)cc3N12,416.446102399379,416.446102399379
FC(F)(F)c1ccc2c(c1C(F)(F)F)OB1Oc3c(ccc(C(F)(F)F)c3C(F)(F)F)N12,444.4179164012894,444.4179164012894
Fc1c(Br)c(Cl)cc2c1OB1Oc3c(cc(Cl)c(Br)c3F)N12,434.3833203986287,434.3833203986287
Fc1c(Br)ccc2c1OB1Oc3c(ccc(Br)c3F)N12,406.1419383995235,406.1419383995235
Fc1cc(F)c2c(c1)N1B(O2)Oc2c(F)cc(F)cc21,387.4602363994345,387.4602363994345
Fc1cc2c(c(F)c1Cl)OB1Oc3c(cc(F)c(Cl)c3F)N12,420.84600440133363,420.84600440133363
Fc1cc2c(cc1F)N1B(O2)Oc2cc(F)c(F)cc21,389.74787240009755,389.74787240009755
N#Cc1c(Br)c(O)cc2c1OB1Oc3c(cc(O)c(Br)c3C#N)N12,471.7660943977535,471.7660943977535
N#Cc1c(F)cc2c(c1Cl)OB1Oc3c(cc(F)c(C#N)c3Cl)N12,472.38468640111387,472.38468640111387
N#Cc1c(N)c(Br)cc2c1OB1Oc3c(cc(Br)c(N)c3C#N)N12,442.5963823981583,442.5963823981583
N#Cc1c(N)c(O)cc2c1OB1Oc3c(cc(O)c(N)c3C#N)N12,421.6142263999209,421.6142263999209
N#Cc1c(N)cc2c(c1Cl)OB1Oc3c(cc(N)c(C#N)c3Cl)N12,427.0831184005365,427.0831184005365
N#Cc1c(N)cc2c(c1O)OB1Oc3c(cc(N)c(C#N)c3O)N12,397.69820440001786,397.69820440001786
N#Cc1c(O)c(C(F)(F)F)cc2c1OB1Oc3c(cc(C(F)(F)F)c(O)c3C#N)N12,477.51248440053314,477.51248440053314
N#Cc1cc(Br)c2c(c1)N1B(O2)Oc2c(Br)cc(C#N)cc21,463.28489439561963,463.28489439561963
N#Cc1cc(O)cc2c1OB1Oc3c(C#N)cc(O)cc3N12,425.806466399692,425.806466399692
N#Cc1cc2c(c(F)c1C(F)(F)F)OB1Oc3c(cc(C#N)c(C(F)(F)F)c3F)N12,496.26040840055794,496.26040840055794
Nc1c(Br)c(Br)cc2c1OB1Oc3c(cc(Br)c(Br)c3N)N12,401.6919343955815,401.6919343955815
Nc1c(O)cc2c(c1F)OB1Oc3c(cc(O)c(N)c3F)N12,353.5162224005908,353.5162224005908
Nc1cc([N+](=O)[O-])cc2c1OB1Oc3c(N)cc([N+](=O)[O-])cc3N12,425.4733544001356,425.4733544001356
Nc1cc2c(c(F)c1C(F)(F)F)OB1Oc3c(cc(N)c(C(F)(F)F)c3F)N12,390.1927583999932,390.1927583999932
Nc1cc2c(c([N+](=O)[O-])c1C(F)(F)F)OB1Oc3c(cc(N)c(C(F)(F)F)c3[N+](=O)[O-])N12,451.97801440022886,451.97801440022886
Nc1cc2c(cc1Cl)OB1Oc3cc(Cl)c(N)cc3N12,360.8112504007295,360.8112504007295
O=[N+]([O-])c1c(Cl)cc2c(c1Br)OB1Oc3c(cc(Cl)c([N+](=O)[O-])c3Br)N12,481.21745839715004,481.21745839715004
O=[N+]([O-])c1c2c(cc(Cl)c1C(F)(F)F)N1B(O2)Oc2c1cc(Cl)c(C(F)(F)F)c2[N+](=O)[O-],500.9111064011231,500.9111064011231
O=[N+]([O-])c1cc(C(F)(F)F)cc2c1OB1Oc3c(cc(C(F)(F)F)cc3[N+](=O)[O-])N12,487.81742840074,487.81742840074
O=[N+]([O-])c1cc2c(c(C(F)(F)F)c1)OB1Oc3c(cc([N+](=O)[O-])cc3C(F)(F)F)N12,488.6206464013085,488.6206464013085
O=[N+]([O-])c1cc2c(c(F)c1Br)OB1Oc3c(cc([N+](=O)[O-])c(Br)c3F)N12,483.55608040094376,483.55608040094376
O=[N+]([O-])c1cc2c(cc1Br)OB1Oc3cc(Br)c([N+](=O)[O-])cc3N12,467.6044043973088,467.6044043973088
Oc1c(Cl)c(Br)cc2c1OB1Oc3c(cc(Br)c(Cl)c3O)N12,420.34027840197086,420.34027840197086
Oc1cc(Cl)c2c(c1)N1B(O2)Oc2c(Cl)cc(O)cc21,378.4520944003016,378.4520944003016
Oc1cc2c(c(Cl)c1O)OB1Oc3c(cc(O)c(O)c3Cl)N12,374.16238040011376,374.16238040011376
Oc1cc2c(c(O)c1F)OB1Oc3c(cc(O)c(F)c3O)N12,381.59713239967823,381.59713239967823
Oc1cc2c(cc1Cl)OB1Oc3cc(Cl)c(O)cc3N12,364.68774639908224,364.68774639908224
c1(OB2N3c4ccccc4O2)c3cccc1,341.0421088002622,341.0421088002622
