SMILES,FIA,group,HIA,reorg_nrj,GEI
COc1cccc2c1OB1Oc3c(OC)cccc3-c3cc(Cl)cc-2c31,317.9338443996385,OCO,451.6460949573666,170.61129799994887,2.460383166249776
Cc1cc(Br)c2c(c1)-c1cc(F)cc3c1B(O2)Oc1c(Br)cc(C)cc1-3,330.83600639924407,OCO,,,2.650902143948187
Cc1cc(C#N)c2c(c1)-c1cc(C(C)(C)C)cc3c1B(O2)Oc1c(C#N)cc(C)cc1-3,354.2101363996044,OCO,479.8785849567503,178.12815799979944,2.892869370892394
Cc1cc(C#N)c2c(c1)-c1cccc3c1B(O2)Oc1c(C#N)cc(C)cc1-3,356.4507643999532,OCO,482.0044229575433,177.8596559999187,2.9706705029238303
Cc1cc(C(C)(C)C)cc2c1OB1Oc3c(C)cc(C(C)(C)C)cc3-c3cc(N)cc-2c31,283.23234639968723,OCO,402.4988929573447,178.5347200004253,1.849743730434683
Cc1cc(Cl)cc2c1OB1Oc3c(C)cc(Cl)cc3-c3cc(N(C)C)cc-2c31,313.6006584009156,OCO,433.7701069572941,178.99442600005386,2.181291399323596
Cc1cc(Cl)cc2c1OB1Oc3c(C)cc(Cl)cc3-c3cc(N)cc-2c31,316.45348240062594,OCO,436.5529649564997,178.25418000015816,2.3307848166681837
Cc1cc(F)c2c(c1)-c1cc(C(C)(C)C)cc3c1B(O2)Oc1c(F)cc(C)cc1-3,307.7630604011938,OCO,,,2.2164240836807254
Cc1cc(O)cc2c1OB1Oc3c(C)cc(O)cc3-c3cc(Br)cc-2c31,312.6966644003988,OCO,432.9666549582034,173.76647600076467,2.331304156120636
Cc1cc2c(c(C(C)(C)C)c1)OB1Oc3c(cc(C)cc3C(C)(C)C)-c3cc(F)cc-2c31,334.0212143994868,OCO,,,2.196349095231483
Cc1cc2c(c(C(F)(F)F)c1)OB1Oc3c(cc(C)cc3C(F)(F)F)-c3cc([N+](=O)[O-])cc-2c31,373.0434704013169,OCO,,,3.866297129622897
Cc1cc2c(c([N+](=O)[O-])c1)OB1Oc3c(cc(C)cc3[N+](=O)[O-])-c3cc(C(C)(C)C)cc-2c31,358.855712399818,OCO,483.2662029569037,180.82123800027148,3.0521451990334896
Cc1cc2c3c(c1)-c1cc(C#N)cc(Br)c1OB3Oc1c(Br)cc(C#N)cc1-2,397.0231924019754,OCO,523.9058929588646,179.0312159993846,3.3717008877584385
Cc1cc2c3c(c1)-c1cc(Cl)cc(C#N)c1OB3Oc1c(C#N)cc(Cl)cc1-2,389.35659840144217,OCO,516.0091469567269,178.4636619999219,3.5336353978564747
Cc1cc2c3c(c1)-c1cc(Cl)cc(N)c1OB3Oc1c(N)cc(Cl)cc1-2,327.824296399951,OCO,448.9619069565088,177.99332199983837,2.218804002223934
Cc1cc2c3c(c1)-c1cc(F)cc(F)c1OB3Oc1c(F)cc(F)cc1-2,327.4005744000897,OCO,,,2.650100203953902
Cc1cc2c3c(c1)-c1cc(O)cc(C)c1OB3Oc1c(C)cc(O)cc1-2,289.044204399921,OCO,408.4814409567043,173.594095999988,1.933993323709212
Cc1cc2c3c(c1)-c1ccccc1OB3Oc1ccccc1-2,291.9599926006049,OCO,412.33779215672985,174.0366081999582,2.0875472120669247
Cc1ccc2c(c1)-c1cc([N+](=O)[O-])cc3c1B(O2)Oc1ccc(C)cc1-3,332.212940399535,OCO,454.85340295685455,173.0859260003399,3.3473063597302493
Cc1cccc2c1OB1Oc3c(C)cccc3-c3cc(C(F)(F)F)cc-2c31,322.86731840018183,OCO,,,2.3876217928476824
FC(F)(F)c1cc2c(c(C(F)(F)F)c1)OB1Oc3c(cc(C(F)(F)F)cc3C(F)(F)F)-c3cc(Br)cc-2c31,402.7280864007771,OCO,,,3.618814878869162
FC(F)(F)c1cc2c3c(c1)-c1cc(Cl)cc(Br)c1OB3Oc1c(Br)cc(Cl)cc1-2,383.6520164050162,OCO,,,3.3386612180661417
FC(F)(F)c1cc2c3c(c1)-c1cccc(C(F)(F)F)c1OB3Oc1c-2cccc1C(F)(F)F,364.1025124005973,OCO,,,3.06927984287296
Fc1cc2c3c(c1)-c1cc(C(F)(F)F)cc(Cl)c1OB3Oc1c(Cl)cc(C(F)(F)F)cc1-2,383.079652399756,OCO,,,3.395200073970424
Fc1ccc2c(c1)-c1cccc3c1B(O2)Oc1ccc(F)cc1-3,311.94568040035665,OCO,,,2.4563162413797284
N#Cc1cc(C#N)c2c(c1)-c1cc([N+](=O)[O-])cc3c1B(O2)Oc1c(C#N)cc(C#N)cc1-3,470.8866964010522,OCO,601.8734969580546,178.99008399986087,5.20208282029763
N#Cc1cc(N)c2c(c1)-c1cc(Br)cc3c1B(O2)Oc1c(N)cc(C#N)cc1-3,385.0906484015286,OCO,511.9463089574128,179.4567840000127,2.975313272393301
N#Cc1cc([N+](=O)[O-])cc2c1OB1Oc3c(C#N)cc([N+](=O)[O-])cc3-c3cc(O)cc-2c31,436.8599503999576,OCO,566.3599409577437,184.31857599998693,4.308874098226351
N#Cc1cc2c3c(c1)-c1cc(N)cc(O)c1OB3Oc1c(O)cc(N)cc1-2,350.3198603997007,OCO,472.4673629570752,177.37452200021835,2.711511044419532
Nc1cc(Br)cc2c1OB1Oc3c(N)cc(Br)cc3-c3cc(O)cc-2c31,328.2133863978088,OCO,447.5590769574046,180.2906820003045,2.3010957188668235
Nc1cc(Cl)c2c(c1)-c1cc(N)cc3c1B(O2)Oc1c(Cl)cc(N)cc1-3,292.14330040011555,OCO,413.6499549569562,180.07984800005943,2.1070069739624504
Nc1cc(Cl)cc2c1OB1Oc3c(N)cc(Cl)cc3-c3cc(F)cc-2c31,338.69903040025383,OCO,,,2.483627038923009
Nc1cc(F)cc2c1OB1Oc3c(N)cc(F)cc3-c3cc(F)cc-2c31,323.35515640024096,OCO,,,2.3531008360967807
Nc1cc(O)c2c(c1)-c1cc(Cl)cc3c1B(O2)Oc1c(O)cc(N)cc1-3,331.0211004000157,OCO,451.4273309567943,179.16974399990977,2.199534334263505
Nc1cc(O)c2c(c1)-c1cccc3c1B(O2)Oc1c(O)cc(N)cc1-3,334.64625439886004,OCO,454.9214189564809,157.57393599988063,1.8182574225763943
Nc1cc2c(c([N+](=O)[O-])c1)OB1Oc3c(cc(N)cc3[N+](=O)[O-])-c3cc(F)cc-2c31,350.33702039998025,OCO,,,3.159684846476565
Nc1cc2c3c(c1)-c1cc(F)cc(O)c1OB3Oc1c(O)cc(F)cc1-2,334.3543263999745,OCO,,,2.4096003851278445
Nc1cccc2c1OB1Oc3c(N)cccc3-c3cc(Cl)cc-2c31,314.9687783997506,OCO,435.6452529570088,178.49798199995348,2.1256030991667063
O=[N+]([O-])c1cc(Cl)c2c(c1)-c1cc(Br)cc3c1B(O2)Oc1c(Cl)cc([N+](=O)[O-])cc1-3,425.4291543979198,OCO,554.0679469574243,181.6174100016724,3.930591636727801
O=[N+]([O-])c1cc(O)c2c(c1)-c1cc(Br)cc3c1B(O2)Oc1c(O)cc([N+](=O)[O-])cc1-3,394.92673440277576,OCO,556.5013649594039,194.57573199933904,3.637230303592645
O=[N+]([O-])c1cc2c3c(c1)-c1cccc(Cl)c1OB3Oc1c(Cl)cccc1-2,368.91038040071726,OCO,494.7712809573859,175.53065399947627,3.845858870780344
O=[N+]([O-])c1cc2c3c(c1)-c1cccc([N+](=O)[O-])c1OB3Oc1c-2cccc1[N+](=O)[O-],408.0253003994003,OCO,538.653586957138,178.81682000015644,4.395052415434343
O=[N+]([O-])c1cccc2c1OB1Oc3c(cccc3[N+](=O)[O-])-c3cc(O)cc-2c31,362.9691724004224,OCO,489.3551949569956,181.97878399955692,3.306563402772255
Oc1cc(O)c2c(c1)-c1cc(Br)cc3c1B(O2)Oc1c(O)cc(O)cc1-3,364.27393040061,OCO,485.72985895723104,159.38228800023353,2.4117200783897834
Oc1cc2c3c(c1)-c1cc(Br)cc(Cl)c1OB3Oc1c(Cl)cc(Br)cc1-2,355.84332640096545,OCO,480.021662954241,179.08149999966554,2.996380169868811
Oc1ccc2c(c1)-c1cccc3c1B(O2)Oc1ccc(O)cc1-3,291.7219183994457,OCO,411.7635509571992,174.00333600007798,2.0764191559818435
c1ccc2c(c1)OB1Oc3ccccc3-c3cccc-2c31,288.362824,OCO,,175.762423,2.1260961095877637
CC(C)(C)c1c(C#N)c(C(F)(F)F)cc2c1NB1Nc3c(cc(C(F)(F)F)c(C#N)c3C(C)(C)C)N12,362.0349664008245,NNN,,,2.996781058597189
CC(C)(C)c1c(C#N)c(Cl)cc2c1NB1Nc3c(cc(Cl)c(C#N)c3C(C)(C)C)N12,349.25539440009743,NNN,475.0890469569713,177.35728400102744,2.7810916499547806
CC(C)(C)c1cc2c(c(C(C)(C)C)c1)NB1Nc3c(cc(C(C)(C)C)cc3C(C)(C)C)N12,252.8646064000204,NNN,384.2735949573107,175.2749700000095,0.9540407806032554
CN(C)c1c(Br)cc2c(c1C#N)NB1Nc3c(cc(Br)c(N(C)C)c3C#N)N12,364.2139224000275,NNN,494.08488095738,176.43397200045,2.397452728397756
CN(C)c1c(C#N)cc2c(c1C(F)(F)F)NB1Nc3c(cc(C#N)c(N(C)C)c3C(F)(F)F)N12,362.9708884004504,NNN,,,2.43283888211358
CN(C)c1c(C(F)(F)F)cc2c(c1O)NB1Nc3c(cc(C(F)(F)F)c(N(C)C)c3O)N12,306.3167324000969,NNN,,,1.411065933229274
CN(C)c1c(C(F)(F)F)cc2c(c1[N+](=O)[O-])NB1Nc3c(cc(C(F)(F)F)c(N(C)C)c3[N+](=O)[O-])N12,378.0065063992515,NNN,,,3.5664604903050314
CN(C)c1c(F)ccc2c1NB1Nc3c(ccc(F)c3N(C)C)N12,269.4752524001524,NNN,,,1.066320239100899
CN(C)c1c(N)cc2c(c1N)NB1Nc3c(cc(N)c(N(C)C)c3N)N12,234.9679744001478,NNN,360.5414969571866,215.19510999951308,0.6701230048740842
