SMILES,FIA
N#Cc1cc2c(cc1[N+](=O)[O-])N1B(N2)Nc2cc(C#N)c([N+](=O)[O-])cc21,420.5671804007143
N#Cc1ccc2c(c1F)NB1Nc3c(ccc(C#N)c3F)N12,353.50252039916813
Nc1c(Br)cc2c(c1Cl)NB1Nc3c(cc(Br)c(N)c3Cl)N12,316.4576424024999
Nc1c(Br)cc2c(c1[N+](=O)[O-])NB1Nc3c(cc(Br)c(N)c3[N+](=O)[O-])N12,361.25975039973855
Nc1ccc2c(c1Cl)NB1Nc3c(ccc(N)c3Cl)N12,280.0692384010181
O=[N+]([O-])c1c(C(F)(F)F)cc2c(c1Br)NB1Nc3c(cc(C(F)(F)F)c([N+](=O)[O-])c3Br)N12,409.5372783988714
Oc1c(Cl)ccc2c1NB1Nc3c(ccc(Cl)c3O)N12,277.24270039983094
Oc1cc2c(c(O)c1Br)NB1Nc3c(cc(O)c(Br)c3O)N12,268.1476924009621
Oc1cc2c(cc1F)N1B(N2)Nc2cc(O)c(F)cc21,277.80760239996016
c1ccc2c(c1)NB1Nc3ccccc3N12,246.432263
