SMILES,FIA,group,HIA,reorg_nrj,GEI,class FIA
Cc1c2c(cc(C#N)c1C(C)(C)C)N1B(O2)Oc2c1cc(C#N)c(C(C)(C)C)c2C,416.0545277632773,ONO,,,2.213795752148278,good LA
Fc1cc(F)c2c(c1)N1B(O2)Oc2c(F)cc(F)cc21,381.9184567919001,ONO,387.4602363994345,,2.012586539468948,medium LA
CN(C)c1c(O)ccc2c1OB1Oc3c(ccc(O)c3N(C)C)N12,332.1576928170398,ONO,338.1827743994072,184.27058000033867,1.0301298552282303,medium LA
Nc1cccc2c1OB1Oc3c(N)cccc3N12,327.40731754433364,ONO,,,1.1248105569006912,medium LA
CN(C)c1cc2c(c(C#N)c1N(C)C)OB1Oc3c(cc(N(C)C)c(N(C)C)c3C#N)N12,403.4820312494412,ONO,,,1.9917952683331976,good LA
Cc1cc2c(c(C)c1N(C)C)OB1Oc3c(cc(C)c(N(C)C)c3C)N12,329.00186783168465,ONO,,,1.1467363321157598,medium LA
Nc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])OB1Oc3c(cc([N+](=O)[O-])c(N)c3[N+](=O)[O-])N12,499.0737892668694,ONO,,,4.533845085532708,good LA
CC(C)(C)c1c(F)ccc2c1OB1Oc3c(ccc(F)c3C(C)(C)C)N12,368.04536624532193,ONO,373.7218884006143,,1.4101784148379493,medium LA
O=[N+]([O-])c1cc(C(F)(F)F)cc2c1OB1Oc3c(cc(C(F)(F)F)cc3[N+](=O)[O-])N12,483.25992897246033,ONO,487.81742840074,,4.203466251389578,good LA
CC(C)(C)c1c(C(F)(F)F)cc2c(c1N)OB1Oc3c(cc(C(F)(F)F)c(C(C)(C)C)c3N)N12,384.6726327575743,ONO,390.18766240030527,,1.6624366667365544,medium LA
CN(C)c1c(C#N)cc2c(c1O)OB1Oc3c(cc(C#N)c(N(C)C)c3O)N12,441.0850227251649,ONO,,,2.0889112636974363,good LA
N#Cc1cc(Br)c2c(c1)N1B(O2)Oc2c(Br)cc(C#N)cc21,458.4867855384946,ONO,463.2848943956196,187.37609799900383,2.9703186128865022,good LA
Oc1cc2c(c(O)c1C(F)(F)F)OB1Oc3c(cc(O)c(C(F)(F)F)c3O)N12,395.2522170878947,ONO,,,2.097644839547684,medium LA
Nc1ccc2c(c1O)OB1Oc3c(ccc(N)c3O)N12,332.13544695451856,ONO,,,0.9982417053756456,medium LA
FC(F)(F)c1cccc2c1OB1Oc3c(cccc3C(F)(F)F)N12,392.1984715508297,ONO,,,2.086555445192868,medium LA
Nc1cc2c(c(N)c1[N+](=O)[O-])OB1Oc3c(cc(N)c([N+](=O)[O-])c3N)N12,385.2290287595242,ONO,,,2.915622064523786,medium LA
Oc1c(F)cc2c(c1O)OB1Oc3c(cc(F)c(O)c3O)N12,382.8050094442442,ONO,,,1.291379779660696,medium LA
N#Cc1cc(F)cc2c1OB1Oc3c(C#N)cc(F)cc3N12,442.9660623427481,ONO,,,3.2298431848070703,good LA
CN(C)c1cc2c(cc1O)N1B(O2)Oc2cc(N(C)C)c(O)cc21,306.86428026482463,ONO,,,1.3666613770362974,medium LA
O=[N+]([O-])c1c(Cl)c(Cl)cc2c1OB1Oc3c(cc(Cl)c(Cl)c3[N+](=O)[O-])N12,482.7018789034337,ONO,,,3.794156827152304,good LA
COc1c(Br)cc2c(c1N)OB1Oc3c(cc(Br)c(OC)c3N)N12,376.3926977962256,ONO,381.9881463982165,179.3854140016265,1.368098619874008,medium LA
COc1ccc2c(c1)OB1Oc3cc(OC)ccc3N12,337.80446374230087,ONO,,,1.053604437856675,medium LA
Cc1cc2c(c(C(C)(C)C)c1Cl)OB1Oc3c(cc(C)c(Cl)c3C(C)(C)C)N12,375.6727856416255,ONO,,,1.597429396760301,medium LA
Cc1cc2c(c(C)c1Br)OB1Oc3c(cc(C)c(Br)c3C)N12,366.681576423347,ONO,,,1.628821692877182,medium LA
Brc1ccc2c(c1)OB1Oc3cc(Br)ccc3N12,382.61626223661005,ONO,,,1.853526333237704,medium LA
Nc1ccc2c(c1F)OB1Oc3c(ccc(N)c3F)N12,349.51568854413927,ONO,,,1.022554131031267,medium LA
CN(C)c1cc(O)c2c(c1)N1B(O2)Oc2c(O)cc(N(C)C)cc21,313.24377316143364,ONO,319.45255640055984,193.29260599974987,1.1525201490976358,medium LA
CN(C)c1ccc2c(c1)OB1Oc3cc(N(C)C)ccc3N12,333.7807324072346,ONO,,,0.8778416862888136,medium LA
c1ccc2c(c1)OB1Oc3ccccc3N12,335.03981728293,ONO,341.0421088002622,180.68374220006265,1.420107489507594,medium LA
Cc1c(Cl)c(C(C)(C)C)cc2c1OB1Oc3c(cc(C(C)(C)C)c(Cl)c3C)N12,371.2233767099679,ONO,,,1.6044446344861774,medium LA
Nc1cc2c(c([N+](=O)[O-])c1C(F)(F)F)OB1Oc3c(cc(N)c(C(F)(F)F)c3[N+](=O)[O-])N12,447.0690102716908,ONO,451.97801440022886,,3.2903887745228686,good LA
Nc1cc2c(c(F)c1C(F)(F)F)OB1Oc3c(cc(N)c(C(F)(F)F)c3F)N12,384.6777787376195,ONO,390.1927583999932,,2.139806940931661,medium LA
N#Cc1c(Br)c(O)cc2c1OB1Oc3c(cc(O)c(Br)c3C#N)N12,467.0511671938002,ONO,471.7660943977535,166.52945399855523,3.1706780630444067,good LA
COc1cc(C#N)cc2c1OB1Oc3c(OC)cc(C#N)cc3N12,419.7298342175782,ONO,,,2.3632029908622623,good LA
FC(F)(F)c1cc2c(c(C(F)(F)F)c1C(F)(F)F)OB1Oc3c(cc(C(F)(F)F)c(C(F)(F)F)c3C(F)(F)F)N12,479.68620312027633,ONO,,,3.746437499059104,good LA
COc1c(C#N)c(Cl)cc2c1OB1Oc3c(cc(Cl)c(C#N)c3OC)N12,453.2188506647945,ONO,458.0681244004518,177.93047999994087,3.1594979020816862,good LA
CC(C)(C)c1c2c(cc(Cl)c1C(F)(F)F)N1B(O2)Oc2c1cc(Cl)c(C(F)(F)F)c2C(C)(C)C,427.0018133968115,ONO,,,2.723345317257357,good LA
COc1c2c(cc(C)c1C(C)(C)C)N1B(O2)Oc2c1cc(C)c(C(C)(C)C)c2OC,350.23541691340506,ONO,,,1.299328627650922,medium LA
CC(C)(C)c1cc2c(cc1C#N)N1B(O2)Oc2cc(C(C)(C)C)c(C#N)cc21,429.0131303342059,ONO,,,2.3297974025124044,good LA
CN(C)c1c2c(cc([N+](=O)[O-])c1C(F)(F)F)N1B(O2)Oc2c1cc([N+](=O)[O-])c(C(F)(F)F)c2N(C)C,460.36309925839305,ONO,465.14298440050334,,3.260344434989896,good LA
Nc1cc2c(c(Cl)c1C(F)(F)F)OB1Oc3c(cc(N)c(C(F)(F)F)c3Cl)N12,398.15158321522176,ONO,,,2.3346352707009106,medium LA
Fc1c(Cl)ccc2c1OB1Oc3c(ccc(Cl)c3F)N12,399.8330323081464,ONO,,,2.015400775202431,medium LA
Oc1c(F)cc2c(c1Br)OB1Oc3c(cc(F)c(O)c3Br)N12,396.8241828233004,ONO,,,1.751147311304424,medium LA
CN(C)c1ccc2c(c1C#N)OB1Oc3c(ccc(N(C)C)c3C#N)N12,407.31452640146017,ONO,412.60964639950544,194.74662999982684,2.2069749611392293,good LA
Cc1ccc2c(c1C#N)OB1Oc3c(ccc(C)c3C#N)N12,415.7594661740586,ONO,,,2.575063020349268,good LA
Cc1cc2c(c(O)c1Br)OB1Oc3c(cc(C)c(Br)c3O)N12,379.0741211511194,ONO,384.6435263976455,179.40923000041948,1.628781235314061,medium LA
